Танцующий Бах
Шепчущий Шуберт
Звёздный Шопен
Безумный Бетховен
Лунный Григ
Сумасшедший Верди
Огненный Вагнер
Сонный Дебюсси
Мелькающий Равель
Загадочный Шостакович
Серебряный Лист
Вихревой Брамс
Ледяной Альбинони
Пламенный Орф
Блуждающий Дворжак
Мерцающий Сибелиус
Яростный Стравинский
Шальной Пуччини
Сумрачный Мусоргский
Колючий Барток
Зеркальный Гендель
Волшебный Гайдн
Бродячий Россини
Магнитный Рахманинов
Кричащий Берлиоз
Невесомый Сен-Санс
Забытый Прокофьев
Мраморный Бизе
Синкопированный Сметана
Горячий Хачатурян
Сквозной Глинка
Ветреный Кодай
Железный Телеман
Прозрачный Скарлатти
Изумрудный Римский-Корсаков
Смеющийся Шнитке
Туманный Скрябин
Зернистый Бородин
Прыгающий Лютославский
Сердитый Шимановский
Лабиринтный Пярт
Шёлковый Губайдулина
Космический Артемьев
Бархатный Таривердиев
Взрывной Стравинский
Мерцающий Свиридов
Бронзовый Денисов
Сквозняковый Щедрин
Морозный Сильвестров
Чарующий Радвилович
